,Actual,Forecast,Lower_CI,Upper_CI
1959-01-01,360,341.385970669169,321.7749994165967,360.9969419217413
1959-02-01,342,319.0205374573618,294.34599636349986,343.69507855122373
1959-03-01,406,363.0432380352775,333.03021955172557,393.05625651882946
1959-04-01,396,348.8778390056613,314.8077702145589,382.94790779676373
1959-05-01,420,364.1680364603779,326.28541921365854,402.05065370709724
1959-06-01,472,435.85402859427523,394.58859935359874,477.11945783495173
1959-07-01,548,491.8960149030944,447.4711659741697,536.3208638320191
1959-08-01,559,505.98421944166387,458.6245839438553,553.3438549394724
1959-09-01,463,404.549607281161,354.4205410276532,454.6786735346688
1959-10-01,407,359.81050636380513,307.0598647694538,412.5611479581565
1959-11-01,362,310.86775778073184,255.61866754877394,366.11684801268973
1959-12-01,405,337.62345723316787,279.9845482182636,395.2623662480721
1960-01-01,417,342.04131422735225,273.9238409298645,410.15878752483997
1960-02-01,391,319.7785798289154,244.6871623116391,394.86999734619167
1960-03-01,419,363.84343728126976,281.51895934434896,446.16791521819056
1960-04-01,461,349.75472605890866,261.14861523794445,438.36083687987286
1960-05-01,472,364.87711039215554,270.2510330952284,459.50318768908267
1960-06-01,535,436.7519942397535,336.53357326670647,536.9704152128006
1960-07-01,622,492.7704361568867,387.22673878534783,598.3141335284256
1960-08-01,606,506.8029827760833,396.202670121853,617.4032954303136
1960-09-01,508,405.63767632176604,290.19654953791803,521.078803105614
1960-10-01,461,360.736983096464,240.65242380108813,480.8215423918398
1960-11-01,390,311.7589297270858,187.20287687122362,436.31498258294795
1960-12-01,432,338.66567849200857,209.79363473914557,467.5377222448716
