,Forecast,Lower_CI,Upper_CI
1961-01-01,447.2226197651374,424.00763135865816,470.4376081716166
1961-02-01,422.7340984378036,394.7714188914381,450.6967779841691
1961-03-01,457.7008947501595,424.7978994870535,490.60389001326547
1961-04-01,492.27750508608057,455.2708331240597,529.2841770481015
1961-05-01,505.5633657237077,464.8260943547089,546.3006370927064
1961-06-01,565.6717819674116,521.526198632352,609.8173653024711
1961-07-01,651.9864040785459,604.6756638005046,699.2971443565872
1961-08-01,639.6342424125804,589.3575925187638,689.910892306397
1961-09-01,543.0588451043561,489.98167777982803,596.1360124288842
1961-10-01,493.72702550537525,437.9898939120699,549.4641570986806
1961-11-01,426.9380009913207,368.6621874027202,485.2138145799212
1961-12-01,470.13560860320854,409.427182877902,530.844034328515
1962-01-01,483.70043150864353,412.73838355002283,554.6624794672642
1962-02-01,458.36324252197,381.21824900189,535.50823604205
1962-03-01,489.5314957419575,406.10803380933834,572.9549576745767
1962-04-01,528.1600923386691,439.01990479206006,617.3002798852781
1962-05-01,540.1981413131253,445.6602064002191,634.7360762260315
1962-06-01,601.8853168591941,502.24731830843973,701.5233154099484
1962-07-01,688.5741749908185,584.0834961725631,793.064853809074
1962-08-01,674.2302651446398,565.1027569538603,783.3577733354193
1962-09-01,576.8770257939605,463.3017734515108,690.4522781364101
1962-10-01,528.8183954971521,410.9631466957748,646.6736442985294
1962-11-01,459.73014954603286,337.74497780310975,581.715321288956
1962-12-01,502.2738551833749,376.2940773908882,628.2536329758616
